created_at,text,tidy_tweet,Abstract,
9/24/2019 16:20,b'Install it RIGHT! Whitestone Dome Glass for Samsung Galaxy Note 10 Plus https://t.co/eRbdVR6SOQ via @YouTube\xe2\x80\xa6 https://t.co/WYjEO1vQgT',Install RIGHT Whitestone Dome Glass Samsung Galaxy Note Plus,CustomerService,
9/24/2019 16:18,"b'Samsung QN82Q80R 82"" Smart QLED 4K Ultra HD TV with HDR QN82Q80RAFXZA  ( Discount 37 % )   #Samsung  #QN82Q80R  https://t.co/MRX04gxGta'",Samsung Smart QLED Ultra with RAFXZA Discount #Samsung,Price,
9/24/2019 16:09,"b""Must have the world's slowest car charging cable. Like 2percent to 8percent in two hours. Go figure. #samsung""",Must have world slowest charging cable Like percent percent hours figure #samsung,Products,
9/24/2019 16:09,"b""Samsung Unveils 43.7MP Smartphone Sensor with the World's Smallest Pixels - PetaPixel \nhttps://t.co/rjUEHMQC14\xe2\x80\xa6 https://t.co/KNGUbySEne""",Samsung Unveils Smartphone Sensor with World Smallest Pixels PetaPixel nhttps rjUEHMQC,News,
9/24/2019 16:07,b'@SamsungSupport my fridge ice maker continues to freeze over. We purchased in 2016. What can we do? #help #fridge #samsung',fridge maker continues freeze over purchased What #help #fridge #samsung,Products,
9/24/2019 16:05,b'#Samsung Unveils 43.7MP Smartphone Sensor with the World\xe2\x80\x99s Smallest Pixels https://t.co/z4kx544dIL #news #technology',#Samsung Unveils Smartphone Sensor with World Smallest Pixels,News,
9/24/2019 16:02,"b'Samsung Galaxy S10, S10e, and S10+ smartphones on sale: Save up to $155 https://t.co/rV2CXrCx1V #MashableShopping #SamsungGalaxyS10 #Samsung'",Samsung Galaxy smartphones sale Save,Price,
9/24/2019 16:02,"b""iPhone XR is the UK's best-seller but #samsung is still Europe's.... #newestgadgets https://t.co/msybZqvDU0 https://t.co/5PlasnJhne""",iPhone best seller #samsung still Europe #newestgadgets,News,
9/24/2019 16:01,b'1/5 The #Galaxy #Fold is back and #Samsung addressed all the points I had highlighted after my first-round hands-on\xe2\x80\xa6 https://t.co/41KXCptUrz',#Galaxy #Fold back #Samsung addressed points highlighted after first round hands,News,
9/24/2019 16:01,"b'Samsung QN82Q80R 82"" Smart QLED 4K Ultra HD TV with HDR QN82Q80RAFXZA  ( Discount 37 % )   #Samsung  #QN82Q80R  https://t.co/A4rhUWjWs0'",Samsung Smart QLED Ultra with RAFXZA Discount #Samsung,Price,
9/24/2019 16:01,"b'#promo\xc3\xa7\xc3\xa3o #oferta  Smartphones Samsung Galaxy S9 / S9+ / S10e / S10 e mais  - R$ 1.709,10  #Samsung #Galaxy https://t.co/VTA21vUBD7'",#promo #oferta Smartphones Samsung Galaxy mais #Samsung #Galaxy,Price,
9/24/2019 16:01,b'Cooking Made Simple with Samsung\xe2\x80\x99s innovative Virtual Flame Technology.\xf0\x9f\x94\xa5\nWe are Proud to be in partnership with Sam\xe2\x80\xa6 https://t.co/11YsgAFUhv',Cooking Made Simple with Samsung innovative Virtual Flame Technology Proud partnership with,News,
9/24/2019 16:00,b'Galaxy Note 10 Plus BEST Tempered Glass Screen Protector WhiteStone Dome... https://t.co/sh039GWuCi via @YouTube\xe2\x80\xa6 https://t.co/yfh13kx2WQ',Galaxy Note Plus BEST Tempered Glass Screen Protector WhiteStone Dome,Products,
9/24/2019 16:00,b'SAMSUNG PATENTS DUAL-SCREEN SMARTPHONE\n\n#Samsung \n#DualScreen \n#patent https://t.co/pid5u2YMxQ',SAMSUNG PATENTS DUAL SCREEN SMARTPHONE n#Samsung n#DualScreen n#patent,Products,
9/24/2019 15:58,"b'#promo\xc3\xa7\xc3\xa3o #oferta  [AME por 1.013,99] Notebook Flash F30 Intel Celeron - R$ 1.351,99  #Samsung #notebook\xe2\x80\xa6 https://t.co/xakpqxtWWH'",#promo #oferta Notebook Flash Intel Celeron #Samsung #notebook,Price,
9/24/2019 15:55,"b'#promo\xc3\xa7\xc3\xa3o #oferta  Smartphone Samsung Galaxy S9+ 128GB Dual Chip 6GB RAM - R$ 2.179,15  #Samsung #Galaxy #smartphone https://t.co/kReLeIZ1nK'",#promo #oferta Smartphone Samsung Galaxy Dual Chip #Samsung #Galaxy #smartphone,Products,
9/24/2019 15:49,"b""@TechQuotesDaily Not true my tab s3 was slow like hell on TouchWiz Android Orio recently received One UI it's Much\xe2\x80\xa6 https://t.co/QGnBKJucdh""",true slow like hell TouchWiz Android Orio recently received Much,Products,
9/24/2019 15:47,"b'Uncovering a #DNA #methylation profile associated with resistance to #immunotherapy in #lungcancer and #melanoma, t\xe2\x80\xa6 https://t.co/Kq4CVbRGSm'",Uncovering #DNA #methylation profile associated with resistance #immunotherapy #lungcancer #melanoma,Products,
9/24/2019 15:46,"b'New #wallpaper ""Vortex"" Direct Message me to grab a copy #art #artistsoninstagram #abstractart #abstractpainting\xe2\x80\xa6 https://t.co/rqRpQAJCgX'",#wallpaper Vortex Direct Message grab copy #art #artistsoninstagram #abstractart #abstractpainting,Products,
